,Mes,Dia,Cantidad,NoMes
0,ENERO,31,384,1
1,ENERO,19,351,1
2,ENERO,4,410,1
3,ENERO,26,415,1
4,ENERO,10,273,1
5,ENERO,17,352,1
6,FEBRERO,21,441,2
7,FEBRERO,2,436,2
8,FEBRERO,16,420,2
9,MARZO,16,438,3
10,MARZO,18,204,3
11,MARZO,30,417,3
12,ABRIL,8,250,4
13,ABRIL,15,224,4
14,ABRIL,25,473,4
15,ABRIL,26,383,4
16,MAYO,21,231,5
17,MAYO,26,600,5
18,MAYO,30,456,5
19,MAYO,22,309,5
20,JUNIO,13,377,6
21,JUNIO,19,242,6
22,JUNIO,29,453,6
23,JUNIO,30,534,6
24,JULIO,3,236,7
25,JULIO,25,433,7
26,JULIO,27,423,7
27,AGOSTO,12,272,8
28,AGOSTO,19,230,8
29,AGOSTO,1,420,8
30,AGOSTO,5,203,8
31,SEPTIEMBRE,9,348,9
32,ENERO,27,466,1
33,ENERO,1,120,1
34,ENERO,2,329,1
35,ENERO,5,270,1
36,ENERO,12,291,1
37,FEBRERO,18,193,2
38,FEBRERO,1,357,2
39,MARZO,17,415,3
40,ABRIL,2,156,4
41,ABRIL,3,300,4
42,ABRIL,5,186,4
43,ABRIL,14,379,4
44,ABRIL,16,238,4
45,ABRIL,24,381,4
46,ABRIL,28,457,4
47,MAYO,2,557,5
48,MAYO,14,187,5
49,MAYO,19,501,5
50,MAYO,31,340,5
51,JUNIO,2,540,6
52,JUNIO,17,217,6
53,JUNIO,26,517,6
54,JUNIO,24,208,6
55,JULIO,11,426,7
56,JULIO,21,367,7
57,JULIO,31,465,7
58,AGOSTO,23,480,8
59,AGOSTO,6,195,8
60,SEPTIEMBRE,2,227,9
61,SEPTIEMBRE,8,410,9
62,ENERO,23,366,1
63,ENERO,30,336,1
64,ENERO,22,250,1
65,ENERO,3,323,1
66,ENERO,13,275,1
67,FEBRERO,7,431,2
68,FEBRERO,27,534,2
69,FEBRERO,25,204,2
70,MARZO,7,329,3
71,MARZO,12,162,3
72,MARZO,13,416,3
73,MARZO,6,319,3
74,MARZO,22,441,3
75,MARZO,9,379,3
76,MARZO,25,283,3
77,MARZO,27,483,3
78,MARZO,31,406,3
79,MARZO,19,169,3
80,ABRIL,1,211,4
81,MAYO,12,458,5
82,MAYO,15,469,5
83,MAYO,20,349,5
84,JUNIO,7,408,6
85,JUNIO,20,459,6
86,JULIO,12,393,7
87,JULIO,17,367,7
88,JULIO,5,405,7
89,AGOSTO,16,334,8
90,AGOSTO,20,200,8
91,AGOSTO,25,473,8
92,AGOSTO,9,459,8
93,AGOSTO,11,503,8
94,AGOSTO,27,240,8
95,SEPTIEMBRE,1,485,9
96,ENERO,21,283,1
97,ENERO,20,429,1
98,ENERO,25,480,1
99,ENERO,11,292,1
100,FEBRERO,9,438,2
101,FEBRERO,20,421,2
102,FEBRERO,12,225,2
103,FEBRERO,17,404,2
104,FEBRERO,22,356,2
105,FEBRERO,6,426,2
106,MARZO,1,395,3
107,MARZO,26,309,3
108,ABRIL,6,192,4
109,ABRIL,9,260,4
110,ABRIL,18,474,4
111,ABRIL,20,565,4
112,ABRIL,27,440,4
113,ABRIL,7,199,4
114,MAYO,3,348,5
115,MAYO,5,462,5
116,MAYO,7,251,5
117,MAYO,8,476,5
118,MAYO,9,440,5
